智能制造事业部总经理,50-60万/年,苏州金峰物流设备有限公司,苏州-工业园区  ,  10年以上经验  ,  本科  ,  招1人  ,  12-22发布,"五险一金,年终奖金,餐饮补贴,补充医疗保险,员工旅游,定期体检,出国机会,专业培训","1.全面组织实施集团总裁的有关决议和规定，全面完成集团总裁制定的各项指标，并将实施情况向集团总裁汇报；
2.负责宣传贯彻执行国家和行业有关法律、法规、方针、政策；
3.根据集团总裁的要求确定事业部的经营方针，建立事业部的经营管理体系；
4.负责召集和主持事业部办公会议，协调、检查和督促各部的工作；
5.根据市场变化，不断调整事业部的经营方向，使事业部持续健康发展；

","要求：
1.智能仓储销售10年以上工作经验，5年以上管理工作经验，管理过100人的销售团队优先；
2.***本科以上学历，硕士以上学历尤佳，管理类相关专业；
3.优秀的外联与公关能力；
4.熟练的外语、沟通交流能力；
职能类别：
首席执行官CEO/总裁/总经理
微信分享" 
应用工程师,0.9-1.5万/月,重庆首厚智能科技研究院有限公司,重庆-渝北区  ,  3-4年经验  ,  本科  ,  招1人  ,  12-03发布,"专业培训,餐饮补贴,通讯补贴,绩效奖金,年终奖金","1、 协助项目经理、软件实施工程师与客户进行需求沟通，解读客户工厂数字化应用的开发需求，提出解决方案，解答并指导现场实施工程师行业相关专业性知识，促进项目高效交付；
2、利用行业知识、数字制造领用域技术引导客户正确、高效使用系统；
3、根据客户实际的专业性需求，提出并制订系统优化建议；
4、结合公司系统功能编制专业技术文档，定期为软件研发部、项目部进行工厂数字化相关知识培训，以及相关技术讨论；
领导交办的其他工作。

","要求：
1、身体健康，本科及以上学历，机械工程、自动化工程或相关专业优先；
2、3年以上数字化车间、智能工厂、智能制造等相关工作经验；
3、熟悉熟悉流程型、离散型制造业生产制造业务，对建材企业流程了解更佳，对现场生产制造管理、生产跟踪、质量管理、生产物流等有深刻理解；对自动化设备整合及其他系统有一定了解；
4、良好的总结、沟通能力和团队合作精神，并能有效协调各方资源；
5、积极的工作态度、高度责任感，能承受一定的工作压力，能接受出差。
职能类别：
ERP技术开发
微信分享"
C#高级软件工程师,1.5-2.5万/月,上海赫宇实业有限公司,苏州-工业园区  ,  5-7年经验  ,  大专  ,  招1人  ,  12-03发布  ,"五险一金,年终奖金","工作内容：
1 、负责和产品经理进行对接，明确开发任务；
2 、负责项目计划的制定、跟踪和质量控制，及时发现并跟踪解决项目问题，有效控制项目风险，确保项目按计划完成；
3 、及时归档项目技术文件，提升内部知识库的积累；
4 、偶尔为智能制造项目提供售前和售后问题支持。
","要求：
1、5年以上工作经验，有1个以上MES/ERP等完整项目实施经验，具有丰富的项目管理经验和较强的沟通协调能力，能够有效的协调项目资源，确保项目交付；
2、熟悉离散型制造业生产制造业务，对现场生产制造管理、生产跟踪、质量管理、生产物流等有深刻理解；对自动化设备整合及其他系统如：ERP、WMS、SCM等系统有一定了解；
3、熟悉C#或者Node.js / Javascript语言，掌握MySQL / MS SQL Server数据库;
4、本科及以上学历，工业自动化、工业工程、计算机、信息管理等相关专业；
5、有良好的团队精神和严谨的工作态度，能承受工作压力，适应一定的出差。

此职位是替《苏州雅禾云科技有公司》代招
苏州雅禾云科技有限公司专注于工业信息化和数字化软件，目前在仓储管理（WMS）系统，执行制造系统（MES）和生产追溯系统（MTS）都有成熟的方案，与长三角多家优秀的企业形成了战略合作关系。公司现在正处于快速成长期，诚聘理想和实干精神兼备的优秀人才一起共同发展，服务于中国工业4.0的转型升级。目前公司整合行业内的优势资源打造一款革命性的产品，引领行业的数字化和智能化升级发展，正值快速发展期，诚邀有志于工业互联网和智能化的英才一起创造这个新的时代。
职能类别：
软件工程师
关键字：
前端后端C#.Net
微信分享"
机械工程师,1-1.5万/月,天津恒兴创智科技有限公司,天津-静海区  ,  8-9年经验  ,  本科  ,  招1人  ,  12-03发布,,,"要求： 
1、本科及以上学历，机械设计制造、机电一体化或相关专业； 10年以上工作经验。
2、非标机械设计经验丰富； 
3、熟悉自动化领域常用零部件、电机、导轨等器件的选型；精通机械传动、液压、气动自动化等； 
4、具有良好的职业操守，品性优秀，高度的敬业精神及高涨的工作热情；具有较强的表达能力和沟通协调能力； 
5、热爱智能制造和高端制造事业，具有推动中国智造发展的激情
工作内容：
1、负责非标自动化设备的机械结构方案设计，机械部分的三维及二维设计出图； 
2、参与设计内审、客户审图，并按照审图要求修改设计； 
3、处理检验、加工、调试反馈的问题，完善、整改设计，设计过程中与电气设计、仿真设计协调工作
职能类别：
机械设计
微信分享"
会展经理,0.8-1.5万/月,南京润展国际展览有限公司,南京-建邺区  ,  3-4年经验  ,  本科  ,  招2人  ,  12-03发布,"五险一金,专业培训,出国机会,绩效奖金,定期体检,员工旅游,员工宿舍","职责描述：
1、独立负责指定行业板块所有线上线下专业展的项目立项；
2、独立负责指定行业板块相关专业展的项目管理工作，制定相关专业展的销售和市场策略，并与相关部门协作完成；
3、负责指定行业板块相关专业展的预算编制执行；
4、协同营销中心达成指定行业板块年度专业展销售利润目标（各国）；
5、协同相关支持部门，完成指定行业板块相关专业展买家观众指标；
6、负责指定行业板块相关专业展合作方的管理；
7、配合公司业务需要对接指定行业板块相关专业展政府协会关系与合作。
","要求：
1、本科及以上学历；
2、3-5年专业展会项目管理和运营经验；
3、有软件、农业、半导体、智能制造、医疗等行业经验者优先；
4、有海外办展或参展经验者优先；
5、良好的多方协作和沟通协调能力，抗高压；
6、具备优秀的项目执行和团队指导、督导能力；
7、掌握一定的相关行业协会、专业媒体渠道资源优先。

薪资福利：
1、基本工资 + 项目提成 + 绩效奖 + 年度奖金 + 总经理红包等。
2、五险一金：养老、医疗、工伤、失业、生育保险、住房公积金。
3、员工宿舍：为外地员工提供免费高档宿舍。
4、买房补助：对工作表现优秀者，提供免息买房贷款。
5、带薪年休假：连续工作满12个月以上的公司员工享有带薪年休假。
6、法定节假日：双休，节假日正常休息。如因工作需要加班给予调休。
7、专业培训：公司将根据工作及员工发展需要，定期安排员工参加业务培训，以提高员工的业务水平。
8、职务升迁：公司为全体员工提供公平晋升的机会，优先从提拔表现突出和具备管理潜力的员工，接替管理岗位。

10、薪资晋升：根据工作表现，公司每年两次对员工的薪资进行调整。
11、节日福利：传统节日公司为员工发放福利。
12、员工活动：不定期举办员工聚会或文体活动。
关于润展国际：
润展国际是专业从事国际国内大型展览和会议策划、组织、实施和综合服务商。
公司聚集杰出展览人才、汇聚各行业专家顾问、整合海内外优秀展览资源、融合国内外优秀展览理念。公司建立了完备的项目管理及运营体系，为项目的运营及实施提供了顺畅高效的工作机制，从而提升专业、高端的品牌形象。公司秉承“脚踏实地，目向星辰”的原则，在工作中不断探索、创新，立足自身，服务客户！
职能类别：
会务/会展经理
微信分享"
行政总监 (MJ011664),3-6万/月,广州小鹏汽车科技有限公司,广州-番禺区  ,  10年以上经验  ,  本科  ,  招1人  ,  12-02发布,"包吃,带薪年假,节日福利,绩效奖金","岗位职责：
1.全权负责集团企业日常行政管理工作，包含行政前台、行政后勤、物业安保、基建装修等管理工作；
2. 负责行政性资产或物质的预算、购买，合理控制行政经费;
3.负责集团各分支机构的行政管理和保障工作；
4. 具备国际视野，对跨国事务行政安排有所了解。

","资格：
1.本科及以上学历; 8年以上行政管理经验，3年以上同等职位工作经验;
2. 5年以上行政团队管理经验，有大型行政团队管理经验优先；
3.有大型互联网企业从业经历优先，有大型智能制造企业从业经历优先；
4.有创业精神、结果导向、抗压能力强。
职能类别：
行政总监
微信分享"
高级机械工程师,1-1.5万/月,广州延新粉体设备有限公司,广州-增城区  ,  3-4年经验  ,  大专  ,  招2人  ,  12-02发布,"五险,交通补贴,餐饮补贴,绩效奖金","【岗位职责】
负责自动化设备的开发，包括设备的结构设计，出机械工程图，设备BOM清单，跟进加工进度，把控加工质量以及设备的安装调试。
熟悉相关的实验原理和实验技术，熟悉各种仪器设备的使用方法；
负责客户现场考察、方案设计、以及对业务与客户谈判提供技术支持
严格遵守公司的保密制度，对技术资料、技术图样等需要保密的内容要恪尽职守；
负责设备调试的全过程,监督设备合理性和不良的操作性；
配合运营部完成其他工作；
【其他方面】
制定设备加工工艺；
与客户沟通技术需求/方案确认，售前和售后服务/设备验收；
参与产品、设备、零件采购相关的供方评审，协助确定采购价格；
 对外沟通：与供应商确认质量和技术要求；
【","资格】
 1. 大专以上学历，机械设计、机电、自动化等相关专业理论知识扎实，学习能力强。
有3年以上机械或者机械自动化行业工作经验。
熟悉电机、气动元件等零件选型；熟悉钣金、机加工等加工工艺。
熟练使用SolidWorks、CAD或类似软件；

 【办公时间】
  周一至周六，早上9：00-18：00午休1.5小时
 【福利待遇】
 工资构成：基本工资+岗位工资+餐补+年终奖金;
缴纳五险（广州）
享受国家法定假期，及国家规定的其它福利待遇。
 公司每年多次组织团队活动，如聚餐、拓展训练、团队建设等活动
  【联系方式】
上班地址：广州市增城区新塘镇夏埔工业园环保二楼五号2栋
联系电话：020 3219 9478  /158 1837 9700     黄小姐
【公司简介】   
          广州延新粉体设备有限公司座落于广州高新技术开发区，主营业务包括智能自动化粉体生产线研发设计、生产和销售。成立3年以来，一直秉承“科技领先，为制造的更高荣耀”的企业使命。集中优势资源发展智能粉体生产线制造及客制化解决方案，为国内外用户提供高性价比的设备产品与服务，已与全球500强和国内知名企业建立合作关系，如强生倍绣、Anyway、亨氏、Baxter、杨子江药业、天普、信立泰等。
         公司努力营造开拓奋进、宽容失败的创新环境，引进、培养国内优秀技术人员。 依托***高新技术开发基地、华南理工与国内外科研院所开展多层次技术交流和合作，成立以来，累计开发新产品新技术十余项，正在申请专利5项，获得知名企业颁发项目的“***质量奖”和“***供应商奖”。         为顺应经济新常态下借力互联网、信息化大力发展高端装备制造等新兴战略性产业的要求，延新公司适时调整战略方向，继续加强技术创新能力建设，以产品营销夯实企业基础，积极布局智能制造关键产品及客制化解决方案，以及一条龙售后服务。 

职能类别：
机械工程师
关键字：
机械设计工程师设计自动化
微信分享"
软件开发工程师,0.8-1.6万/月,山东玲珑轮胎股份有限公司,烟台  ,  3-4年经验  ,  本科  ,  招2人  ,  12-02发布  ,"五险一金,绩效奖金,餐饮补贴,高温补贴,带薪年假","岗位职责：
1.主导和参与智能制造全专业领域（包括MES、能源管理、工业网络、自动化物流等）的信息系统全面解决方案所需的软件或系统的开发；
2.参与智能制造系统架构规划，实现框架搭建、核心功能设计；
3.参与功能需求的可行性分析及实现方案设计；
4.配合项目经理完成系统模块需求规划、拆分、制定开发计划，并完成核心功能模块的编码；
5.设计、开发系统中的关键性功能模块，指导技术人员进行技术决策、评估技术风险及部署工作；
6.及时对现有系统的升级做出具体明确的升级方案；
7.负责开发文档编写工作，包括但不限于：开发流程文档、数据库设计文档、bug修复文档等；
8.统一编码风格：页面展示、代码层次、数据结构、算法、变量定义、数据脚本规范。

","资格：
1.3年以上软件开发工作经验；
2.精通C#、Java、.net等开发语言，精通MVC和三层架构开发；java方面，熟悉J2EE体系结构， 熟练使用eclipse等开发工具，精通html，jsp，servlet，java bean，struts2，spring等开发技术，掌握Tomcat、Weblogic等系统安装、部署、配置以及性能优化技术； c#方面，熟练使用visual studio等开发工具，精通桌面应用程序、.NET、WinCE智能手持开发，熟练掌握WebService、WCF、Ajax、Jquery、Html和Css等开发技术，掌握IIS相关系统安装部署、配置等技术；
3.精通Oracle、Sqlserver等数据库开发，掌握存储过程、用户权限、数据仓库、数据备份等技术，能够进行大数据查询优化、分布式查询及高性能的并发和事务处理等；
4.了解TCP/UDP、OPC等通讯协议，能够开发自动化相关程序。
职能类别：
软件工程师
关键字：
软件开发
微信分享"
薪酬绩效专员,0.8-1万/月,深圳市喆华电子科技有限公司,深圳-龙华区  ,  3-4年经验  ,  本科  ,  招1人  ,  12-02发布,"五险一金,员工旅游,专业培训,年终奖金","1、主要负责公司薪酬核算的工作，制作薪酬相关报表，以及绩效考核数据收集汇总和整理；
2、负责组织各部门绩效计划、方案的跟进、评审与指标跟踪管理、述职管理，负责日常考核管理（月、年等绩效管理）、组织绩效面谈等；
3、负责员工社会保险、公积金、工资、奖金、薪酬核算及福利管理等；
4、负责公司年度预算，人工成本核算，制定年度调薪方案、年度福利方案；
5、完成领导交代的其他事情。
","资格：
1、本科以上学历，人力资源管理、财务管理相关专业；
2、有三年以上的薪酬管理工作经验，千人规模大型科技智能制造领域尤佳；
3、对数字敏感，能准确的进行薪酬相关的数据分析，精通excel数据处理；
4、责任心强，原则性强，独立自主，具备良好的统筹规划能力，职业素养高，对职业和岗位有忠诚度。

正常工作时间 ：
周一至周五9:00-18:00
职能类别：
薪资福利经理/主管
关键字：
人力资源绩效考核人事专员绩效专员薪酬绩效绩效薪酬
微信分享"
电子产品设计师,1-1.5万/月,成都依能科技股份有限公司,成都  ,  3-4年经验  ,  本科  ,  招3人  ,  12-02发布,"五险一金,餐饮补贴,绩效奖金,年终奖金,股票期权,补充医疗保险,专业培训","岗位职责：
1. 负责智能教学产品（电子电路）部分的设计与研发工作，包括前期调研分析、概念设计、方案选型及原理图绘制等。
2. 调研分析教学产品使用场景，提炼出产品功能清单并撰写详细需求文档。
3. 根据产品设计文档制定相应的测试方案与具体测试检验标准，完成硬件调试和测试工作，并配合其他部门相互调试及市场技术支持。
4. 编制产品说明书及相关文件，包括：产品功能、使用说明、生产工艺图纸、配线图、BOM表和控制图等。
5. 过程监督和指导供应商开展研发和生产工作，进行过程管理及解决生产过程中遇到的问题。
","要求：
1、机械制造与自动化专业、人工智能、智能制造等相关专业，有相应的教学硬件产品、智能家居、安防等行业硬件开发经验者优先。
2、熟悉掌握原理图设计，依据产品方案设计和优化原理图；负责相关设计文档的编写与完善。
3、熟悉产品的可靠性设计以及相关测试与验证。
4、了解PADS、Candence等硬件设计软件，能识别产品硬件架构及主要工作芯片模块。
5、有通信（5.8G、2.4G、U段）、工控开发经验优先，熟悉LORA、GPS、GPRS、WIFI、Zigbee、BLE等物联网硬件模块者优先；
6、具有较强的书面表达能力和口头沟通能力，能够与合作伙伴、用户、开发人员顺畅交流，并独立完成各种文档的编写
7、良好的学习能力、团队合作精神、分析判断能力、沟通协调能力，执行力强，抗压能力强。
职能类别：
硬件工程师
关键字：
智能硬件
微信分享"
物联网产品经理,1-2万/月,上海共泰信息科技有限公司,上海-徐汇区  ,  2年经验  ,  本科  ,  招3人  ,  12-02发布,,"岗位描述：
1.负责整个项目周期过程中的工作计划、组织、跟踪、执行等管理工作，对整个项目向公司及客户负责；
2.负责与客户有效沟通，充分理解和整合客户需求与流程，协调内部资源，出具最为合理的解决方案，解决项目开发过程中遇到的问题；
3.项目实施的整体把握，合理分配和整合各条项目组的资源，对各条项目产品线进行规划，监督，调整，验收，确保项目的交付进度；
4.项目实施中存在的问题，风险的规避和把控，控制项目成本，优化进度；
5. 具备优秀的分析和解决问题能力，不断发展和维系客户关系，加强客户服务工作
，团队人员的效率管理和人员技能的培养
","资格：
1、计算机相关专业，大学本科及以上学历，具有PMP证书者优先；
2、软件行业3年以上项目管理经验以及300万以上大项目交付经验，精通工业互联网行业业务特性及BPM领域相关知识；对行业的IT系统使用情况有认知
3. 工作责任心强，具备良好的沟通能力，能够协调业务方和IT方进行业务梳理以及方案评审，工作过程中善于归纳总结，并且具备在迭代过程不断完善和优化项目团队的经验和能力。
4. 具有完整生命周期IT项目的管理经验，熟悉项目管理实践和标准流程，良好的团队领导力，能够管理来自公司内部或供应商处的项目组成员。
5、具有分析和设计能力，具有很强的沟通、演讲能力、谈判技巧，具有较强的分析、协调能力；
6. 有工业智能制造开发经验者优先考虑，
7、较强抗压能力，适应短期出差。
职能类别：
需求工程师
关键字：
物联网智慧城市
微信分享"
高级IT工程师,28-32万/年,四川天味食品集团股份有限公司,成都-双流区  ,  8-9年经验  ,  本科  ,  招1人  ,  12-02发布,"五险一金,员工旅游,绩效奖金,餐饮补贴","岗位职责： 
1、负责公司生产、采购、物流领域的应用解决方案规划与策划、设计、创新以及落地； 
2、有较深入的业务洞察能力，识别业务痛点及项目机会点，能够给生产中心提出建设性意见； 
3、负责业务需求调研/分析，识别出关键价值需求，输出业务方案/应用方案，主导应用解决方案架构设计，具有较强的方案编写能力、讲解能力；
4、协调内部各团队资源，高效完成产品需求的推动与落地； 
5、参与各业务系统的选型、实施、运营，保证各业务平台符合公司规划，保证各业务系统正常运行。
","要求： 
1、统招本科以上学历，拥有5年以上MES、WMS、SRM、ERP等系统集成方案设计经验，有食品零售行业数字化转型项目经验优先； 
2、熟悉智能制造、采购、仓储物流等一个或多个业务领域，能够洞察业务痛点需求，擅于挖掘应用解决方案场景； 
3、具有较强的应用解决方案编写能力、宣讲能力、理解能力。
职能类别：
IT经理/IT主管
微信分享"
项目专员,4.5-6千/月,浩驰（天津）企业管理咨询服务有限公司,天津-南开区  ,  1年经验  ,  大专  ,  招2人  ,  12-02发布,,"岗位职责：
1.了解与智能制造相关的国家和地方政府、公共领域面向企业的各类优惠、扶持奖励政策；
2.负责两化融合，智能制造诊断等项目对接企业进行项目开展的指导与全程跟进，指导企业进行系统注册与资料准备
3.制定企业筛选标准与项目开展流程，指导外勤对接企业并跟进项目；
4.对接企业收集各类项目资料，根据项目开展要求进行资料整理，催促企业提供相应素材；
5.开展项目技术服务，撰写项目体系文件、申报资料，填报项目申报系统，对立项、项目实施、项目评审各环节全程跟进参与项目相关事宜；
6.负责项目合同的起草与制定；
7.合同进度的管理与跟进。
7.配合团队完成其他临时性任务。
","资格：
1、大学专科及以上学历，生产制造、智动化、电气自动化专业、计算机专业等相关专业优先；
2、具备较强的沟通和逻辑表达能力，有清晰的问题解决思路，能够深入思考解决问题、以及项目管理能力；
3、亲和力强，与人接触能力强；
4、了解政府关于智能制造相关政策信息，具备一定的申报政府项目经验。
职能类别：
项目执行/协调人员
微信分享"
工业互联网行业领域解决方案经理,1-2万/月,中国联合网络通信有限公司宁波市余姚分公司,宁波-余姚市  ,  3-4年经验  ,  本科  ,  招1人  ,  12-02发布  ,"五险一金,员工旅游,专业培训,通讯补贴,餐饮补贴,交通补贴,绩效奖金,年终奖金","【岗位职责】
1. 负责工业互联网行业领域信息化项目的售前支撑，负责编制完整综合解决方案；
2. 负责工业互联网行业领域整体咨询、规划、方案设计和技术支持,包括配合销售人员外出洽谈客户、与用户的技术交流、协助客户编写项目可研报告及技术建议书、技术方案编写、技术方案宣讲等。
3 负责工业互联网等相关行业领域解决方案及方案库的落地实施工作，包括负责投标技术文件的编制，包括技术方案、软硬件配置及报价、应标等工作，并负责项目投标工作。
4 负责为公司市场、研发、实施等部门提供解决方案建议，协同完成项目落地。
5 根据公司战略规划和市场定位提供行业性的智能制造、智能工厂总体架构、关键技术、实施路径研究。
6 完成上级领导安排的其他专项工作：包括根据市场需求，设计并实现基于公司产品的通用解决方案；统筹项目招投标策略制定和招投标文件编制工作；负责对客户经理人员的培训等。
【","要求】
1. 年龄要求：原则上35周岁及以下
2. 教育背景：本科及以上学历（***、***等重点院校优先），学士及以上学位，计算机、自动化、电子通讯、工业工程等相关专业。
3. 工作经验：（1）具有3年以上企业内通信组网或工业互联网组网经验，系统集成（如：ERP/MES/PLM等）行业经验或管理咨询服务从业经验、熟悉行业市场的发展现状；（2）具有基于云计算、大数据、物联网等技术定制行业应用解决方案的项目经验，；（3）具有国内***工业互联网和工业信息化技术服务提供商、大数据上市公司等大型公司工作经验者优先考虑；（4）熟悉工业企业工作流程，深度参与过相关工业企业、政府工业信息化工作支撑及招投标技术方案撰写者优先考虑。
4. 业务资格：（1）对工业行业和生产制造有深刻认识和研究，熟悉行业政策和项目运作商务模式，具备为行业客户或企业客户IT业务咨询和规划的能力；（2）熟悉云计算、大数据、物联网等架构，具备独立完成工业互联网、工业企业信息化等项目咨询规划和方案设计能力；（3）在工业企业担任信息化技术负责人或工业信息化服务企业担任技术负责人可适用破格录取。

【薪酬待遇】：
1、公司缴五险一金，待遇优厚，薪酬组成为：基本工资+绩效工资+各项福利，同时，公司根据业绩完成情况发放半年奖和年终奖。
2、按工作能力匹配薪资，年薪12万-至30万。
3、有良好的晋升通道，有专业技术资格逐级资格认证体系，并有各类外送培训的机会，以及证书考级体系。

【联系方式】：


联系人：徐老师，联系电话：******，也可投递电子简历,发至xuqi8@chinaunicom.cn。公司地址：余姚市子陵路395号（中国联通余姚分公司）。
职能类别：
通信技术工程师
关键字：
工业互联网
微信分享"
工业信息化工程师,20-30万/年,金发科技股份有限公司,清远  ,  2年经验  ,  硕士  ,  招2人  ,  12-01发布,,"工作职责:
1、承担AGV导航部分的算法开发、优化；
2、负责研究语义SLAM（深度学习）在工业场景的落地；
3、负责以AGV、协作机械手等为代表的智能制造技术开发和集成，以及实施应用。
","资格:
1） 硕士学历，计算机等相关专业，专业功底扎实；
2） 2年及以上相关工作经验；
3） 熟悉C++、python、OpenCV、深度学习框架（keras\tensorflow)，对3D视觉有深刻认知（双目相机、单目相机、深度相机）、有开源SLAM框架开发落地经验（ORB-SLAM、SVO、LSD-SLAM）；
4） 具备较强的创新及专研精神，有意向从事工业信息化行业，具备良好的问题分析与解决能力，认同企业文化。
职能类别：
机器视觉工程师
微信分享"
培训项目商务专员,0.8-1万/月,阿巴玛斯智能科技（苏州）有限公司,苏州  ,  2年经验  ,  本科  ,  招3人  ,  12-01发布  ,"五险一金,通讯补贴,餐饮补贴,年终奖金,周末双休,交通补贴","   1.   针对客户背景、现状及未来发展进行需求分析，运用专业知识，提供关于本公司相关产品（包括但不局限于工业文化研学、智能智造工业4.0、数字化工厂、精益生产等）的培训服务咨询； 2.   负责维护老客户及开发潜在新客户，挖掘并策划针对生产制造型等企业培训&咨询业务的拓展，对目标客户进行及时的回访和持续的跟进，寻找客户培训需求，以达成与客户的培训合作事宜；   3.   渠道开发及合作策划，提升新业务的市场影响力及挖掘潜在的业务需求； 4.协助项目执行团队处理相关事务，备案并整理培训相关的客户数据、跟踪培训实施效果、定期收回项目款项、参与项目总结与反馈；5.   与学员客户建立长久友好合作关系、确保客户服务的延续性、并通过学员获得更多的项目或转介机会； 6.   完成部门日常的工作，包括上级交代的其他任务。
","资格   ：
     1. 热爱企业培训事业，有高度的工作责任感，良好的服务和团队协作意识，良好的工作承压以及应变能力；   2.逻辑思维清晰，具有较强的商务沟通能力；3.有工业互联网，工业文化、智能制造行业培训产品业务拓展工作经验；4.有服务于高校、高端制造领域的培训、论坛、峰会、会展等相关活动的经验； 5具有优秀的文档写作能力，汇报能力出色，有政府项目申报材料撰写经验者优先；6.英语CET6及以上，具有良好的读写能力。 
  
职能类别：
课程顾问
关键字：
商务专员销售
微信分享"
解决方案经理,20-25万/年,南京联创信息科技有限公司,南京-建邺区  ,  3-4年经验  ,  本科  ,  招8人  ,  12-01发布,"五险一金,年终奖金,过节费,带薪年假,加班补助","1、负责行业技术发展研究，解读行业政策，制定行业解决方案，协调推动解决方案的推广与落地，形成行业研究报告；
2、熟悉公司各种产品及成熟解决方案，针对特定客户形成专属解决方案；
3、配合行业经理、项目勘察、需求分析，形成完整的解决方案；
4、负责协助客户经理完成针对用户的咨询规划、产品选择、技术交流、方案宣讲等。
","要求：
1、本科及以上学历，计算机、通信等相关行业本科及以上学历，3年以上相关工作经验，有5G、工业互联网、智能制造业等相关领域从业经验；
2、具备较好的沟通能力和团队写作能力，文档撰写能力强；
3、熟悉行业发展状况及相关解决方案。
4、具有一建、信息系统项目管理相关证书、计算机相关认证证书者优先。

职能类别：
售前/售后技术支持经理
微信分享"
解决方案工程师,1-2万/月,深圳融安网络科技有限公司,深圳-南山区  ,  3-4年经验  ,  大专  ,  招1人  ,  12-01发布,"五险一金,节日福利,周末双休,年终奖金,定期体检,带薪年假","岗位职责：
1、负责各工控行业的需求洞察，并提供解决方案技术支撑、宣讲等；
项目招投标技术支持，标前引导和技术答标，解决方案设计；
2、负责对市场销售、渠道的相关人员、用户进行工控网络安全培训工作；
3、对各工控行业组织机构、业务流程、安全规范要求、安全事件等相关行业背景研究；
4、负责分析市场动态并联合产品、研发，不断提升解决方案在市场上的竞争力；
5、提供网络安全项目日常的技术支持服务，针对客户网络架构提出适合的解决方案；
6、协助领导处理公司内部的技术工作。

","资格：
1、计算机或通信工程等相关专业本科以上学历；
2、具备一定的网络产品知识；有良好的网络基础；
3、具备一定的文档编写和演讲能力；
4、对国内外（工业控制）网络安全相关政策与标准有一定了解；
5、熟悉工业控制网络环境，了解工业自动化/信息化者优先；
6、熟悉电力、石化、轨道交通、智能制造、矿业等一种行业或多行业工控安全业务，有过关键信息基础设施的网络安全规划经验优先考虑；
7、持CCIE、CISP、CISSP、CISA、等保测评、PMP等证书者优先；
8、熟悉网络安全，对网络风险评估有经验者优先。

工作地点：深圳、广州。（可任意选择）
职能类别：
售前/售后技术支持工程师
关键字：
售前技术支持
微信分享"
酒店工程销售代表,1-1.5万/月,上海德洋建筑装潢有限公司,上海-宝山区  ,  5-7年经验  ,  大专  ,  招8人  ,  12-01发布  ,"工作氛围好,工作环境佳,社会保险,员工聚餐,节日福利,员工旅游","1、负责市场开发及信息渠道的开拓，并完善和维护已开拓市场；
2、从事过酒店类装饰、房地产、招商、等相关工作的，对工程装饰、装修业务流程熟悉，有相关经验及关系者优先；
3、具有良好的语言表达沟通能力，有团队合作精神，客户服务意识强；
4、善于交际应酬，反应机制灵敏，普通话标准；
5、了解工程信息，走访工程客户或单位，及时跟踪工程进度，并提交针对性的报告
6、维护和跟进工程项目相关负责人、设计师、施工方的关系，建立长期合作关系。分析确定销售目标及其对应的需求，制定明确的工作计划，最终通过谈判，签订合同
7、完成工程项目的报备手续，供货进度和应收款的回收工作，遵照合同条款执行，做到供货合理，收款及时；
负责工程款的催讨，及时收回货款
8、完成领导委派的其他有关事项。

","要求：
1、专科以上学历，市场营销相关专业；
2、有5年以上工作经验，并具有成功的销售案例，有独立完成项目销售的能力；
3、熟悉建筑工程、消防、机电、装饰、自动化、智能制造其中任一行业。
4、综合素质能力高，具有敏锐的市场洞察力和谈判能力，善于与人沟通，能够吃苦耐劳，热爱市场销售工作；
5、具备优秀的人际沟通、谈判能力及解决问题的能力；
6、***，能接受短期（3-5天）出差。
职能类别：
市场/营销/拓展经理
关键字：
销售渠道销售
微信分享"
激光加工工程师,0.5-1万/月,北京航空航天大学合肥创新研究院,合肥-新站区  ,  无需经验  ,  本科  ,  招1人  ,  12-01发布,"绩效奖金,年终奖金,五险一金,周末双休","岗位职责：
1、负责协助研发人员开展样件加工、测试等工作，整理实验及工艺文档，为客户提供激光智能制造应用和解决方案；
2、负责激光、自动化控制设备调试以及定期维护；
3、具有团队合作精神，沟通能力强；
4、月薪5千起，外加绩效。
","要求：
1、机械、材料、自动化、控制、软件等相关专业，***本科及以上学历，有材料加工、数控加工或激光加工等研究或工作经历，有Python开发经验（C#和QT也可以），熟悉用户图形界面开发优先；
2、具备快速学习和良好沟通能力，能够独立操作机器设备；
3、熟悉材料加工原理，理解激光与材料相互作用；
4、良好的英语阅读能力。
职能类别：
其他
微信分享"
